countryCode,customerID,PaperlessDate,invoiceNumber,InvoiceDate,DueDate,InvoiceAmount,Disputed,SettledDate,PaperlessBill,DaysToSettle,DaysLate
391,0219540831X,2012-11-09,10001,2013-03-10,2013-04-09,24.74,No,2013-04-09,Paper,30,0
391,0126855092X,2013-03-25,10002,2013-09-12,2013-10-12,111.84,No,2013-10-12,Electronic,30,0
406,0896233790X,2013-06-25,10003,2013-10-07,2013-11-06,137.41,No,2013-12-21,Paper,75,45
818,0395310485X,2012-06-06,10004,2012-08-28,2012-09-27,181.81,No,2012-10-02,Paper,35,5
770,0362950628X,2011-12-21,10005,2012-03-16,2012-04-15,54.84,No,2012-04-15,Paper,30,0
770,0339670711X,2011-11-11,10006,2012-02-29,2012-03-30,37.15,No,2012-03-30,Electronic,30,0
770,0249827706X,2012-12-12,10007,2013-05-28,2013-06-27,40.9,No,2013-08-26,Electronic,90,60
897,0890779946X,2013-07-01,10008,2013-08-23,2013-09-22,172.57,No,2013-10-12,Paper,50,20
770,0210053353X,2011-11-27,10009,2012-04-24,2012-05-24,55.4,No,2012-05-24,Electronic,30,0
818,0826600539X,2013-01-09,10010,2013-07-22,2013-08-21,71.38,No,2013-08-21,Electronic,30,0
770,0895285932X,2012-08-15,10011,2012-10-29,2012-11-28,220.09,No,2012-12-10,Electronic,42,12
406,0685582861X,2011-11-04,10012,2012-04-20,2012-05-20,31.05,No,2012-05-20,Paper,30,0
818,0193349856X,2013-03-30,10013,2013-06-29,2013-07-29,53.11,No,2013-08-18,Electronic,50,20
406,0734036506X,2013-06-04,10014,2013-08-05,2013-09-04,94.86,No,2013-09-04,Paper,30,0
406,0553035110X,2013-03-31,10015,2013-07-18,2013-08-17,472.99,No,2013-08-29,Electronic,42,12
770,0134126396X,2012-08-01,10016,2013-01-19,2013-02-18,50.5,No,2013-03-02,Electronic,42,12
818,0131994523X,2012-06-28,10017,2012-08-15,2012-09-14,18.3,Yes,2012-10-19,Electronic,65,35
897,0200604502X,2012-07-14,10018,2012-10-14,2012-11-13,337.0,No,2012-12-23,Paper,70,40
391,0334760738X,2012-08-09,10019,2013-02-22,2013-03-24,64.04,No,2013-03-24,Paper,30,0
770,0349817734X,2011-11-20,10020,2012-04-12,2012-05-12,35.12,Yes,2012-06-16,Electronic,65,35
770,0642621108X,2012-05-14,10021,2012-07-08,2012-08-07,105.44,No,2012-08-07,Electronic,30,0
897,0746412689X,2013-02-06,10022,2013-07-09,2013-08-08,183.2,No,2013-10-07,Electronic,90,60
897,0128492780X,2012-11-05,10023,2013-02-16,2013-03-18,112.28,No,2013-04-27,Electronic,70,40
770,0702632297X,2013-06-10,10024,2013-07-25,2013-08-24,21.14,No,2013-09-05,Paper,42,12
770,0313500298X,2012-01-11,10025,2012-03-01,2012-03-31,20.97,Yes,2012-04-12,Paper,42,12
406,0868820204X,2011-09-17,10026,2012-03-13,2012-04-12,108.48,No,2012-05-17,Paper,65,35
818,0797808098X,2013-06-29,10027,2013-09-28,2013-10-28,42.38,Yes,2013-11-17,Electronic,50,20
897,0853041955X,2011-11-09,10028,2012-05-16,2012-06-15,147.57,No,2012-06-15,Paper,30,0
406,0685126461X,2011-12-12,10029,2012-04-14,2012-05-14,454.73,Yes,2012-05-14,Electronic,30,0
391,0550455977X,2012-09-07,10030,2013-03-26,2013-04-25,368.51,No,2013-05-30,Paper,65,35
770,0336696312X,2012-08-27,10031,2012-11-04,2012-12-04,108.42,No,2012-12-04,Electronic,30,0
818,0582334538X,2013-08-01,10032,2013-09-13,2013-10-13,312.06,No,2013-10-18,Electronic,35,5
406,0732719211X,2012-10-19,10033,2013-03-11,2013-04-10,117.88,No,2013-04-10,Paper,30,0
391,0398704996X,2012-11-11,10034,2013-03-15,2013-04-14,30.65,No,2013-04-14,Paper,30,0
391,0969119330X,2012-02-02,10035,2012-06-02,2012-07-02,489.43,No,2012-07-02,Electronic,30,0
406,0106977991X,2012-06-16,10036,2012-09-14,2012-10-14,490.06,No,2012-10-19,Paper,35,5
406,0914763202X,2012-03-26,10037,2012-07-02,2012-08-01,112.74,No,2012-08-01,Electronic,30,0
818,0965241839X,2012-01-05,10038,2012-04-22,2012-05-22,111.44,No,2012-05-22,Paper,30,0
818,0271432881X,2012-04-26,10039,2012-08-23,2012-09-22,22.29,No,2012-10-12,Paper,50,20
818,0786579303X,2012-12-02,10040,2013-02-15,2013-03-17,107.09,No,2013-05-01,Paper,75,45
770,0219540831X,2012-08-02,10041,2012-09-30,2012-10-30,285.83,Yes,2012-11-19,Electronic,50,20
406,0126855092X,2013-04-14,10042,2013-08-15,2013-09-14,99.68,No,2013-09-14,Electronic,30,0
897,0896233790X,2012-08-15,10043,2012-12-06,2013-01-05,312.71,No,2013-01-25,Electronic,50,20
406,0395310485X,2012-04-27,10044,2012-10-31,2012-11-30,93.55,No,2012-11-30,Paper,30,0
818,0362950628X,2012-09-25,10045,2013-02-21,2013-03-23,75.9,No,2013-03-23,Electronic,30,0
818,0339670711X,2012-02-29,10046,2012-08-08,2012-09-07,370.36,No,2012-10-22,Paper,75,45
406,0249827706X,2013-07-23,10047,2013-09-28,2013-10-28,38.59,No,2013-12-12,Electronic,75,45
770,0890779946X,2012-06-22,10048,2012-09-09,2012-10-09,108.04,No,2012-10-29,Paper,50,20
391,0210053353X,2012-09-14,10049,2013-01-30,2013-03-01,93.85,No,2013-03-01,Electronic,30,0
897,0826600539X,2012-11-28,10050,2013-06-16,2013-07-16,29.0,No,2013-08-05,Electronic,50,20
770,0895285932X,2013-03-11,10051,2013-07-28,2013-08-27,90.52,No,2013-10-26,Paper,90,60
818,0685582861X,2013-02-04,10052,2013-07-17,2013-08-16,93.94,No,2013-08-16,Electronic,30,0
770,0193349856X,2012-07-15,10053,2012-09-03,2012-10-03,48.57,No,2012-10-03,Electronic,30,0
897,0734036506X,2012-04-12,10054,2012-08-26,2012-09-25,49.74,No,2012-09-25,Electronic,30,0
770,0553035110X,2012-11-01,10055,2013-03-08,2013-04-07,107.47,No,2013-05-12,Electronic,65,35
770,0134126396X,2012-06-27,10056,2012-12-28,2013-01-27,324.52,No,2013-02-01,Paper,35,5
897,0131994523X,2013-03-05,10057,2013-05-16,2013-06-15,86.31,No,2013-06-20,Paper,35,5
391,0200604502X,2011-10-31,10058,2012-05-12,2012-06-11,84.61,No,2012-06-23,Electronic,42,12
897,0334760738X,2013-01-08,10059,2013-04-19,2013-05-19,50.44,No,2013-05-19,Paper,30,0
818,0349817734X,2012-12-12,10060,2013-03-09,2013-04-08,119.99,No,2013-05-18,Paper,70,40
406,0642621108X,2011-09-15,10061,2012-02-13,2012-03-14,31.0,No,2012-05-13,Paper,90,60
391,0746412689X,2013-05-23,10062,2013-08-02,2013-09-01,78.62,No,2013-09-13,Paper,42,12
406,0128492780X,2012-03-04,10063,2012-04-22,2012-05-22,262.62,No,2012-07-21,Paper,90,60
770,0702632297X,2013-08-27,10064,2013-10-06,2013-11-05,99.58,No,2013-12-10,Electronic,65,35
897,0313500298X,2013-01-18,10065,2013-03-16,2013-04-15,59.11,No,2013-04-15,Electronic,30,0
818,0868820204X,2012-07-04,10066,2013-01-07,2013-02-06,92.05,No,2013-03-23,Paper,75,45
406,0797808098X,2013-05-16,10067,2013-07-07,2013-08-06,48.84,No,2013-08-18,Electronic,42,12
818,0853041955X,2013-01-22,10068,2013-04-08,2013-05-08,18.01,No,2013-05-20,Electronic,42,12
391,0685126461X,2012-07-22,10069,2012-12-31,2013-01-30,224.98,No,2013-02-04,Paper,35,5
897,0550455977X,2011-11-07,10070,2012-03-30,2012-04-29,64.99,No,2012-05-04,Paper,35,5
770,0336696312X,2011-10-25,10071,2012-04-07,2012-05-07,53.75,No,2012-05-12,Electronic,35,5
406,0582334538X,2013-03-31,10072,2013-07-19,2013-08-18,27.67,No,2013-09-22,Electronic,65,35
770,0732719211X,2013-01-21,10073,2013-07-04,2013-08-03,225.07,No,2013-09-07,Paper,65,35
406,0398704996X,2012-01-05,10074,2012-04-14,2012-05-14,89.34,No,2012-05-14,Electronic,30,0
391,0969119330X,2011-09-04,10075,2012-02-27,2012-03-28,306.53,No,2012-05-02,Electronic,65,35
391,0106977991X,2012-12-26,10076,2013-05-07,2013-06-06,301.54,No,2013-07-16,Electronic,70,40
406,0914763202X,2013-06-16,10077,2013-08-15,2013-09-14,46.9,No,2013-10-24,Paper,70,40
897,0965241839X,2012-11-18,10078,2013-03-04,2013-04-03,62.3,No,2013-05-18,Paper,75,45
406,0271432881X,2012-09-08,10079,2013-03-17,2013-04-16,480.08,No,2013-05-06,Electronic,50,20
770,0786579303X,2011-10-28,10080,2012-03-26,2012-04-25,62.3,No,2012-06-04,Electronic,70,40
